,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
579,2022-08-25,10499.087441096348,-180617.47701090045,925495.6846040853,10499.087441096348,10499.087441096348,350648.8092300089,350648.8092300089,350648.8092300089,-93981.13104502145,-93981.13104502145,-93981.13104502145,444629.9402750304,444629.9402750304,444629.9402750304,0.0,0.0,0.0,361147.8966711053
580,2022-08-26,12120.88492441391,-150322.21611741878,955899.6835736769,12120.88492441391,12120.88492441391,369008.3712436411,369008.3712436411,369008.3712436411,-77490.3806958816,-77490.3806958816,-77490.3806958816,446498.7519395227,446498.7519395227,446498.7519395227,0.0,0.0,0.0,381129.256168055
581,2022-08-29,16986.27737436705,-176980.09995659243,984534.1439518776,16986.27737436705,16986.27737436705,377521.26100524684,377521.26100524684,377521.26100524684,-87642.03535374817,-87642.03535374817,-87642.03535374817,465163.29635899496,465163.29635899496,465163.29635899496,0.0,0.0,0.0,394507.5383796139
582,2022-08-30,18608.074857684842,-168370.40645970177,963670.5656799299,18608.074857684842,18608.074857684842,394642.2817948513,394642.2817948513,394642.2817948513,-81127.27119442925,-81127.27119442925,-81127.27119442925,475769.5529892806,475769.5529892806,475769.5529892806,0.0,0.0,0.0,413250.35665253614
583,2022-08-31,20229.872341002632,-171045.34557590788,951359.209347063,20229.872341002632,20229.872341002632,370540.6563407555,370540.6563407555,370540.6563407555,-117870.77078898573,-117870.77078898573,-117870.77078898573,488411.4271297413,488411.4271297413,488411.4271297413,0.0,0.0,0.0,390770.52868175815
584,2022-09-01,21853.942191749888,-169397.82764255977,987849.7261845917,21853.942191749888,21853.942191749888,408906.7253422311,408906.7253422311,408906.7253422311,-93981.13104527566,-93981.13104527566,-93981.13104527566,502887.8563875067,502887.8563875067,502887.8563875067,0.0,0.0,0.0,430760.667533981
585,2022-09-02,23478.012042497143,-61588.00793210544,1035363.1870136436,23478.012042497143,23478.012042497143,441437.0477821222,441437.0477821222,441437.0477821222,-77490.38069592732,-77490.38069592732,-77490.38069592732,518927.42847804946,518927.42847804946,518927.42847804946,0.0,0.0,0.0,464915.0598246194
586,2022-09-05,28350.221594739374,-40065.33378082099,1088108.651914493,28350.221594739374,28350.221594739374,485090.5870518158,485090.5870518158,485090.5870518158,-87642.035353718,-87642.035353718,-87642.035353718,572732.6224055338,572732.6224055338,572732.6224055338,0.0,0.0,0.0,513440.8086465552
587,2022-09-06,29974.29144548663,-47008.03811079327,1103671.0397911684,29974.29144548663,29974.29144548663,509920.7449407314,509920.7449407314,509920.7449407314,-81127.27119448142,-81127.27119448142,-81127.27119448142,591048.0161352128,591048.0161352128,591048.0161352128,0.0,0.0,0.0,539895.036386218
588,2022-09-07,31598.361296234118,-44190.791457862986,1047546.368910929,31598.361296234118,31598.361296234118,490811.3058989215,490811.3058989215,490811.3058989215,-117870.77078895766,-117870.77078895766,-117870.77078895766,608682.0766878792,608682.0766878792,608682.0766878792,0.0,0.0,0.0,522409.66719515563
