,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
881,2023-09-03,723901.9611359067,802429.1960647468,2278687.44657149,240486.2568667516,1205301.6410248862,809901.3356135665,809901.3356135665,809901.3356135665,256630.4169127844,256630.4169127844,256630.4169127844,553270.9187007821,553270.9187007821,553270.9187007821,0.0,0.0,0.0,1533803.296749473
882,2023-09-04,725821.5024283472,412606.03710881347,1932659.9093603538,238388.76672742426,1213155.085371375,471978.14228417276,471978.14228417276,471978.14228417276,-98442.44012331661,-98442.44012331661,-98442.44012331661,570420.5824074894,570420.5824074894,570420.5824074894,0.0,0.0,0.0,1197799.64471252
883,2023-09-05,727741.0437207881,482314.47847964044,1937088.4404119565,232304.80301863476,1221444.0834397431,495937.51455866324,495937.51455866324,495937.51455866324,-92136.68751320876,-92136.68751320876,-92136.68751320876,588074.2020718721,588074.2020718721,588074.2020718721,0.0,0.0,0.0,1223678.5582794514
884,2023-09-06,729660.5850132289,417392.75384696806,1943302.789473175,229973.5008156465,1231262.3620374913,476618.7159313937,476618.7159313937,476618.7159313937,-129116.65511645659,-129116.65511645659,-129116.65511645659,605735.3710478502,605735.3710478502,605735.3710478502,0.0,0.0,0.0,1206279.3009446226
885,2023-09-07,731580.1263056694,429191.2233442645,2025502.1560397975,227673.19831834125,1236715.6842419393,517277.80411800207,517277.80411800207,517277.80411800207,-105589.15136368443,-105589.15136368443,-105589.15136368443,622866.9554816865,622866.9554816865,622866.9554816865,0.0,0.0,0.0,1248857.9304236714
886,2023-09-08,733499.6675981103,501496.02036431676,2036386.6489623059,225372.89582103648,1241037.2741124493,550925.7278537746,550925.7278537746,550925.7278537746,-87975.9261300845,-87975.9261300845,-87975.9261300845,638901.6539838591,638901.6539838591,638901.6539838591,0.0,0.0,0.0,1284425.3954518847
887,2023-09-09,735419.2088905507,867175.073024163,2400814.4987456496,223072.59332373127,1247689.7843108925,909884.052430466,909884.052430466,909884.052430466,256630.44333399626,256630.44333399626,256630.44333399626,653253.6090964697,653253.6090964697,653253.6090964697,0.0,0.0,0.0,1645303.2613210166
888,2023-09-10,737338.7501829916,910295.0681567653,2472082.898245607,220772.2908264265,1254777.6044644376,921961.2336569909,921961.2336569909,921961.2336569909,256630.4169126885,256630.4169126885,256630.4169126885,665330.8167443024,665330.8167443024,665330.8167443024,0.0,0.0,0.0,1659299.9838399827
889,2023-09-11,739258.2914754325,550078.9298991181,2076093.2303364645,218471.98832912173,1262896.7719919535,576105.6150210779,576105.6150210779,576105.6150210779,-98442.44012227422,-98442.44012227422,-98442.44012227422,674548.0551433521,674548.0551433521,674548.0551433521,0.0,0.0,0.0,1315363.9064965104
890,2023-09-12,741177.832767873,523285.9869338216,2128351.842752025,216171.6858318165,1268521.5212074677,588203.3490720774,588203.3490720774,588203.3490720774,-92136.6875132645,-92136.6875132645,-92136.6875132645,680340.0365853419,680340.0365853419,680340.0365853419,0.0,0.0,0.0,1329381.1818399504
891,2023-09-13,743097.3740603133,489531.99219667265,2074265.9318124931,212458.72602122882,1277324.77631869,553057.8195294044,553057.8195294044,553057.8195294044,-129116.6551164567,-129116.6551164567,-129116.6551164567,682174.4746458611,682174.4746458611,682174.4746458611,0.0,0.0,0.0,1296155.1935897176
892,2023-09-14,745016.9153527542,531088.8759787206,2094205.7936443442,207966.89332137787,1285871.7055510182,573975.6047164192,573975.6047164192,573975.6047164192,-105589.1513635852,-105589.1513635852,-105589.1513635852,679564.7560800044,679564.7560800044,679564.7560800044,0.0,0.0,0.0,1318992.5200691735
893,2023-09-15,746936.4566451951,491902.4906638664,2074202.9401958568,205118.2792521817,1294016.2426878526,584105.9849986138,584105.9849986138,584105.9849986138,-87975.92612981735,-87975.92612981735,-87975.92612981735,672081.9111284312,672081.9111284312,672081.9111284312,0.0,0.0,0.0,1331042.441643809
894,2023-09-16,748855.9979376355,807984.3030809035,2421908.195319796,202502.0308817062,1304551.0006222061,915996.0314850617,915996.0314850617,915996.0314850617,256630.44333314517,256630.44333314517,256630.44333314517,659365.5881519165,659365.5881519165,659365.5881519165,0.0,0.0,0.0,1664852.0294226971
895,2023-09-17,750775.5392300759,866883.1429985343,2409102.4603588674,199885.78251123065,1311748.5778845313,897764.1751215993,897764.1751215993,897764.1751215993,256630.41691259257,256630.41691259257,256630.41691259257,641133.7582090067,641133.7582090067,641133.7582090067,0.0,0.0,0.0,1648539.7143516752
896,2023-09-18,752695.0805225169,482455.34103270405,2088764.8526708737,196176.59886058225,1317208.5062223196,518748.46185368375,518748.46185368375,518748.46185368375,-98442.4401227977,-98442.4401227977,-98442.4401227977,617190.9019764814,617190.9019764814,617190.9019764814,0.0,0.0,0.0,1271443.5423762007
897,2023-09-19,754614.6218149577,385955.1435187786,2087411.001696946,189573.4462766749,1322459.6128946578,495297.7771566491,495297.7771566491,495297.7771566491,-92136.68751304552,-92136.68751304552,-92136.68751304552,587434.4646696947,587434.4646696947,587434.4646696947,0.0,0.0,0.0,1249912.3989716067
898,2023-09-20,756534.1631073982,334099.43092667067,1994539.6355292145,186352.530418151,1327710.719566995,422742.7484501799,422742.7484501799,422742.7484501799,-129116.65511648594,-129116.65511648594,-129116.65511648594,551859.4035666658,551859.4035666658,551859.4035666658,0.0,0.0,0.0,1179276.911557578
899,2023-09-21,758453.704399839,337961.8503108155,1954789.2419098127,182306.3454730125,1332961.8262393333,404971.5450815422,404971.5450815422,404971.5450815422,-105589.15136367589,-105589.15136367589,-105589.15136367589,510560.6964452182,510560.6964452182,510560.6964452182,0.0,0.0,0.0,1163425.2494813814
900,2023-09-22,760373.2456922794,305585.58640962275,1931392.9506294704,178299.7230456777,1338212.9329116705,375757.8004936921,375757.8004936921,375757.8004936921,-87975.92613062904,-87975.92613062904,-87975.92613062904,463733.72662432113,463733.72662432113,463733.72662432113,0.0,0.0,0.0,1136131.0461859715
